title,requirements,remote_work,description,Competence,company_name,sector,Region,id,number_of_positions,url,company_description,contract_type,niveau d'études requis,posted_date,niveau d'expérience,end_date
Ingénieur Full-Stack | Casablanca (Maroc),"Quel sera votre rôle dans la #TeamDeloitte ? Dans le double contexte de transformation des métiers de la finance et du fort développement de nos activités Data Analytics, nous étoffons nos équipes en recrutant un...",Hybride,,,Deloitte Extended Services,['Informatique'],,172312,,/offre-emploi-ingenieur-full-stack-recrutement-deloitte-extended-services-casablanca-172312.html,"«Tous nos postes sont ouverts au télétravail.» Rejoindre Deloitte, c'est dire oui à une expérience qui a du sens, celle où les rencontres et les missions vous poussent à grandir chaque jour....",CDI,,10/06/2025,,10/08/2025
Test Manager Anglophone (H/F) | Rabat (Maroc),"Rattaché(e) au Responsable testing, le Test Manager assure la gestion de l’équipe de tests et de correspondants informatiques ainsi que la validation des développements avant leur mise en production. Dans ce cadre il : Manage...",Hybride,,,AXA Services Maroc,['Informatique'],,172303,,/offre-emploi-test-manager-anglophone-hf-recrutement-axa-services-maroc-rabat-172303.html,"AXA Services Maroc est le centre d'expertise en relation client au Maroc des sociétés : AXA France, AXA Direct France et AXA Assistance Présents à Rabat depuis mai 2004 et à Kénitra depuis 2024, nous...",CDI,,10/06/2025,,10/08/2025
Digital Campaign Production Manager | Casablanca (Maroc),"About the role Within the ""Campaign Production"" team, the ""Campaign Manager"" oversees the implementation and smooth execution of Marketing Automation campaigns directed at Orange Business clients and prospects (France and International...",Hybride,,,Orange Business,"['Informatique', 'Telecom']",,172286,,/offre-emploi-digital-campaign-production-manager-recrutement-orange-business-casablanca-172286.html,"Orange Business est l’entité du Groupe Orange qui accompagne les entreprises et organisations dans leur transformation digitale. Forts de 29 100 collaborateurs à travers le monde, nous concilions présence globale et approche locale...",CDI,,10/06/2025,,10/08/2025
Click & Webmaster | Casablanca (Maroc),"As a Webmaster & Digital analytics specialist, you will contribute to the management and optimization of the Orange Wholesale International website, the Click portal, and occasionally other Orange sites, working closely with the Digital Platforms...",Hybride,,,Orange Business,"['Informatique', 'Telecom']",,170818,,/offre-emploi-click-webmaster-recrutement-orange-business-casablanca-170818.html,"Orange Business est l’entité du Groupe Orange qui accompagne les entreprises et organisations dans leur transformation digitale. Forts de 29 100 collaborateurs à travers le monde, nous concilions présence globale et approche locale...",CDI,,10/06/2025,,21/06/2025
Click User Support Manager | Casablanca (Maroc),"Role is with Orange Wholesale Division -Orange Wholesale International The Click User Support Manager position is essential for ensuring an optimal user experience for our customers utilizing our digital assets, such as the Click portal and Click...",Hybride,,,Orange Business,"['Informatique', 'Telecom']",,170817,,/offre-emploi-click-user-support-manager-recrutement-orange-business-casablanca-170817.html,"Orange Business est l’entité du Groupe Orange qui accompagne les entreprises et organisations dans leur transformation digitale. Forts de 29 100 collaborateurs à travers le monde, nous concilions présence globale et approche locale...",CDI,,10/06/2025,,21/06/2025
Product Owner | Casablanca (Maroc),"Au sein de la direction Product and Marketing / Direction Digital B2B d’Orange Business : En tant que Product Owner et Manager sur les parcours IAM – Data et Performance, venez construire les parcours clients et utilisateurs de la prochaine...",Hybride,,,Orange Business,['Informatique'],,170795,,/offre-emploi-product-owner-recrutement-orange-business-casablanca-170795.html,"Orange Business est l’entité du Groupe Orange qui accompagne les entreprises et organisations dans leur transformation digitale. Forts de 29 100 collaborateurs à travers le monde, nous concilions présence globale et approche locale...",CDI,,10/06/2025,,21/06/2025
IT Talent Acquisition | Tanger (Maroc),Identifier et recruter des talents IT. Définir les besoins en collaboration avec les équipes techniques et rédiger les offres. Sourcer activement des profils sur les jobboards et réseaux professionnels. Mener les...,Hybride,,,Akkodis Maroc,['Informatique'],,172266,,/offre-emploi-it-talent-acquisition-recrutement-akkodis-maroc-tanger-172266.html,Akkodis est un leader mondial sur le marché de l'ingénierie et de la R&D qui s'appuie sur la puissance des données connectées pour accélérer l'innovation et la transformation numérique. Avec...,CDI,,09/06/2025,,09/08/2025
Test QA Technico fonctionnel Sénior | Rabat (Maroc),"Concevoir, développer et maintenir des applications robustes et scalables avec les technologies Java et Angular Expérience appréciée avec la Programmation Réactive. Expériences avec les bases de données...",Hybride,,,ALTEN Maroc,['Informatique'],,172263,,/offre-emploi-test-qa-technico-fonctionnel-senior-recrutement-alten-maroc-rabat-172263.html,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...",CDI,,06/06/2025,,06/08/2025
Dev Fullstack Expérimenté Java / Angular | Rabat (Maroc),"Concevoir, développer et maintenir des applications robustes et scalables avec les technologies Java et Angular Expérience appréciée avec la Programmation Réactive. Expériences avec les bases de données...",Hybride,,,ALTEN Maroc,['Informatique'],,172258,,/offre-emploi-dev-fullstack-experimente-java-angular-recrutement-alten-maroc-rabat-172258.html,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...",CDI,,06/06/2025,,06/08/2025
Responsable Support IT | Casablanca (Maroc),"Sous l’autorité directe du Directeur des Systèmes d’Information, le Responsable Support assure la supervision opérationnelle du support technique : maintien en condition opérationnelle des postes de travail, pilotage...",Hybride,,,Tersea,"['Informatique', 'Internet / Multimédia']",,172256,,/offre-emploi-responsable-support-it-recrutement-tersea-casablanca-172256.html,"Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France,...",CDI,,06/06/2025,,06/08/2025
Responsable Infrastructure IT (Systèmes & Réseaux) | Casablanca (Maroc),"Dans le cadre du développement de ses activités, notre Direction des Systèmes d’Information recrute un Responsable Infrastructure. Vous êtes un professionnel expérimenté, reconnu pour votre rigueur et votre...",Hybride,,,Tersea,"['Informatique', 'Internet / Multimédia']",,172255,,/offre-emploi-responsable-infrastructure-it-systemes-reseaux-recrutement-tersea-casablanca-172255.html,"Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France,...",CDI,,06/06/2025,,06/08/2025
Chef de Projet Technique (Infrastructure IT) | Maroc (Maroc),"Dans le cadre du renforcement de nos équipes, notre Direction des Systèmes d’Information recherche un Chef de Projet Technique. Vous justifiez d’une solide expérience en gestion de projets IT et souhaitez contribuer...",Hybride,,,Tersea,"['Informatique', 'Internet / Multimédia']",,172254,,/offre-emploi-chef-de-projet-technique-infrastructure-it-recrutement-tersea-maroc-172254.html,"Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France,...",CDI,,06/06/2025,,06/08/2025
Ingénieur Réseau – Casablanca | Casablanca (Maroc),"Tersea Groupe recrute un Ingénieur Réseau passionné par les infrastructures réseau et qui souhaite évoluer dans un environnement technique stimulant, pour renforcer l’équipe infrastructure à...",Non,,,Tersea,"['Informatique', 'Internet / Multimédia']",,172253,,/offre-emploi-ingenieur-reseau-casablanca-recrutement-tersea-casablanca-172253.html,"Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France,...",CDI,,06/06/2025,,06/08/2025
